srcNodeId	srcNodeType	dstNodeId	dstNodeType	rel	wallTime	hasUserGesture	method	referrerPolicy	windowName	type
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	27_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	17_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	7e205c235bdb1d9004a17a7dfa86cb5d	Resource	request	1763087195.710148	False	GET	strict-origin-when-cross-origin		
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	28_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	29_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	30_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	31_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	32_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	33_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	34_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	36_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
